image_filename	latex_label
101_Fabricio.png	$S = \Bigg( \sum_{i=1}^{n} \theta_i - (n-2)\pi \Bigg)r^2$
101_Frank.png	$S = \Bigg( \sum_{i=1}^{n} \theta_i - (n-2)\pi \Bigg)r^2$
101_Nina.png	$S = \Bigg( \sum_{i=1}^{n} \theta_i - (n-2)\pi \Bigg)r^2$
101_alfonso.png	$S = \Bigg( \sum_{i=1}^{n} \theta_i - (n-2)\pi \Bigg)r^2$
101_carlos.png	$S = \Bigg( \sum_{i=1}^{n} \theta_i - (n-2)\pi \Bigg)r^2$
101_caue.png	$S = \Bigg( \sum_{i=1}^{n} \theta_i - (n-2)\pi \Bigg)r^2$
101_danilo.png	$S = \Bigg( \sum_{i=1}^{n} \theta_i - (n-2)\pi \Bigg)r^2$
101_david.png	$S = \Bigg( \sum_{i=1}^{n} \theta_i - (n-2)\pi \Bigg)r^2$
101_edwin.png	$S = \Bigg( \sum_{i=1}^{n} \theta_i - (n-2)\pi \Bigg)r^2$
101_fujita.png	$S = \Bigg( \sum_{i=1}^{n} \theta_i - (n-2)\pi \Bigg)r^2$
101_herbert.png	$S = \Bigg( \sum_{i=1}^{n} \theta_i - (n-2)\pi \Bigg)r^2$
101_hirata.png	$S = \Bigg( \sum_{i=1}^{n} \theta_i - (n-2)\pi \Bigg)r^2$
101_jorge.png	$S = \Bigg( \sum_{i=1}^{n} \theta_i - (n-2)\pi \Bigg)r^2$
101_leissi.png	$S = \Bigg( \sum_{i=1}^{n} \theta_i - (n-2)\pi \Bigg)r^2$
101_leo.png	$S = \Bigg( \sum_{i=1}^{n} \theta_i - (n-2)\pi \Bigg)r^2$
101_miguel.png	$S = \Bigg( \sum_{i=1}^{n} \theta_i - (n-2)\pi \Bigg)r^2$
101_mijail.png	$S = \Bigg( \sum_{i=1}^{n} \theta_i - (n-2)\pi \Bigg)r^2$
101_rosario.png	$S = \Bigg( \sum_{i=1}^{n} \theta_i - (n-2)\pi \Bigg)r^2$
101_user0.png	$S = \Bigg( \sum_{i=1}^{n} \theta_i - (n-2)\pi \Bigg)r^2$
105_Fabricio.png	$\frac{b^2c^2 -4b^3d -4ac^3 +18abcd -27a^2d^2}{a^4}$
105_Frank.png	$\frac{b^2c^2 -4b^3d -4ac^3 +18abcd -27a^2d^2}{a^4}$
105_Nina.png	$\frac{b^2c^2 -4b^3d -4ac^3 +18abcd -27a^2d^2}{a^4}$
105_alfonso.png	$\frac{b^2c^2 -4b^3d -4ac^3 +18abcd -27a^2d^2}{a^4}$
105_carlos.png	$\frac{b^2c^2 -4b^3d -4ac^3 +18abcd -27a^2d^2}{a^4}$
105_caue.png	$\frac{b^2c^2 -4b^3d -4ac^3 +18abcd -27a^2d^2}{a^4}$
105_danilo.png	$\frac{b^2c^2 -4b^3d -4ac^3 +18abcd -27a^2d^2}{a^4}$
105_david.png	$\frac{b^2c^2 -4b^3d -4ac^3 +18abcd -27a^2d^2}{a^4}$
105_edwin.png	$\frac{b^2c^2 -4b^3d -4ac^3 +18abcd -27a^2d^2}{a^4}$
105_fujita.png	$\frac{b^2c^2 -4b^3d -4ac^3 +18abcd -27a^2d^2}{a^4}$
105_herbert.png	$\frac{b^2c^2 -4b^3d -4ac^3 +18abcd -27a^2d^2}{a^4}$
105_hirata.png	$\frac{b^2c^2 -4b^3d -4ac^3 +18abcd -27a^2d^2}{a^4}$
105_leissi.png	$\frac{b^2c^2 -4b^3d -4ac^3 +18abcd -27a^2d^2}{a^4}$
105_leo.png	$\frac{b^2c^2 -4b^3d -4ac^3 +18abcd -27a^2d^2}{a^4}$
105_lucelia.png	$\frac{b^2c^2 -4b^3d -4ac^3 +18abcd -27a^2d^2}{a^4}$
105_miguel.png	$\frac{b^2c^2 -4b^3d -4ac^3 +18abcd -27a^2d^2}{a^4}$
105_mijail.png	$\frac{b^2c^2 -4b^3d -4ac^3 +18abcd -27a^2d^2}{a^4}$
105_rosario.png	$\frac{b^2c^2 -4b^3d -4ac^3 +18abcd -27a^2d^2}{a^4}$
105_user0.png	$\frac{b^2c^2 -4b^3d -4ac^3 +18abcd -27a^2d^2}{a^4}$
106_Fabricio.png	$y^4 + y + 1 = 0$
106_Frank.png	$y^4 + y + 1 = 0$
106_Nina.png	$y^4 + y + 1 = 0$
106_alfonso.png	$y^4 + y + 1 = 0$
106_carlos.png	$y^4 + y + 1 = 0$
106_caue.png	$y^4 + y + 1 = 0$
106_daniel.png	$y^4 + y + 1 = 0$
106_david.png	$y^4 + y + 1 = 0$
106_edwin.png	$y^4 + y + 1 = 0$
106_fabio.png	$y^4 + y + 1 = 0$
106_fujita.png	$y^4 + y + 1 = 0$
106_herbert.png	$y^4 + y + 1 = 0$
106_jorge.png	$y^4 + y + 1 = 0$
106_leissi.png	$y^4 + y + 1 = 0$
106_leo.png	$y^4 + y + 1 = 0$
106_miguel.png	$y^4 + y + 1 = 0$
106_rosario.png	$y^4 + y + 1 = 0$
106_user0.png	$y^4 + y + 1 = 0$
107_Fabricio.png	$a^2 + b^2 = (a+bi)(a-bi)$
107_Frank.png	$a^2 + b^2 = (a+bi)(a-bi)$
107_Nina.png	$a^2 + b^2 = (a+bi)(a-bi)$
107_alfonso.png	$a^2 + b^2 = (a+bi)(a-bi)$
107_bruno.png	$a^2 + b^2 = (a+bi)(a-bi)$
107_carlos.png	$a^2 + b^2 = (a+bi)(a-bi)$
107_caue.png	$a^2 + b^2 = (a+bi)(a-bi)$
107_daniel.png	$a^2 + b^2 = (a+bi)(a-bi)$
107_david.png	$a^2 + b^2 = (a+bi)(a-bi)$
107_edwin.png	$a^2 + b^2 = (a+bi)(a-bi)$
107_herbert.png	$a^2 + b^2 = (a+bi)(a-bi)$
107_hirata.png	$a^2 + b^2 = (a+bi)(a-bi)$
107_jorge.png	$a^2 + b^2 = (a+bi)(a-bi)$
107_leissi.png	$a^2 + b^2 = (a+bi)(a-bi)$
107_leo.png	$a^2 + b^2 = (a+bi)(a-bi)$
107_miguel.png	$a^2 + b^2 = (a+bi)(a-bi)$
107_rosario.png	$a^2 + b^2 = (a+bi)(a-bi)$
107_user0.png	$a^2 + b^2 = (a+bi)(a-bi)$
108_Fabricio.png	$a^xa^y = a^{x+y}$
108_Frank.png	$a^xa^y = a^{x+y}$
108_Nina.png	$a^xa^y = a^{x+y}$
108_Willian.png	$a^xa^y = a^{x+y}$
108_alfonso.png	$a^xa^y = a^{x+y}$
108_bruno.png	$a^xa^y = a^{x+y}$
108_carlos.png	$a^xa^y = a^{x+y}$
108_caue.png	$a^xa^y = a^{x+y}$
108_danilo.png	$a^xa^y = a^{x+y}$
108_david.png	$a^xa^y = a^{x+y}$
108_edwin.png	$a^xa^y = a^{x+y}$
108_herbert.png	$a^xa^y = a^{x+y}$
108_jorge.png	$a^xa^y = a^{x+y}$
108_leissi.png	$a^xa^y = a^{x+y}$
108_leo.png	$a^xa^y = a^{x+y}$
108_maira.png	$a^xa^y = a^{x+y}$
108_miguel.png	$a^xa^y = a^{x+y}$
108_rosario.png	$a^xa^y = a^{x+y}$
108_user0.png	$a^xa^y = a^{x+y}$
